detectionid,code,year,filename,timestamp,x1,x2,y1,y2,wktposition,abovethreshold,nweID,nweTR,eurID,eurTR
000877d6-f3ca-4e4a-bb50-08462770d98c,F1,2025,20250623011959-snapshot.jpg,1750641599,2692,2820,1204,1401,POINT(14.8958531 50.2718919),TRUE,Deltote bankiana,species,Deltote bankiana,species
00093db1-025f-472d-9efd-bdc165125057,F1,2025,20250614015959-snapshot.jpg,1749866399,115,350,1460,1727,POINT(14.8958531 50.2718919),TRUE,Diacrisia sannio,species,Diacrisia sannio,species
000a01f9-9ea0-49a0-96d5-9617c907f2b3,G1,2025,20250705235000-snapshot.jpg,1751759400,2108,2184,1393,1469,POINT(14.8866697 50.2391933),TRUE,Hemiptera,order,Hemiptera,order
000a2abc-e28f-4f7d-9573-6839d608b94e,G1,2025,20250721010000-snapshot.jpg,1753059600,549,791,1599,2009,POINT(14.8866697 50.2391933),FALSE,Trichoptera,order,Trichoptera,order
000b4bca-f363-449a-ae3e-987e3b88f698,W1,2025,20250703025959-snapshot.jpg,1751511599,1110,1173,1714,1758,,TRUE,Coleoptera,order,Coleoptera,order
000bfc6a-eede-44c5-937f-18210deade30,W1,2025,20250623005000-snapshot.jpg,1750639800,466,630,1537,1725,,TRUE,Miltochrista miniata,species,Miltochrista miniata,species
000c6d91-79a8-4dfe-ad30-4fbc437c1be5,F1,2025,20250527004959-snapshot.jpg,1748306999,527,1074,1238,1569,POINT(14.8958531 50.2718919),TRUE,Siona lineata,species,Siona lineata,species
000d542c-9898-4ba0-a47c-b0362d60a419,F1,2025,20250626021959-snapshot.jpg,1750904399,3436,3504,368,472,POINT(14.8958531 50.2718919),TRUE,Coleophora striatipennella,species,Lepidoptera Micros,order
000d89a4-3ebd-4d93-9abc-d92208a64533,G1,2025,20250721015000-snapshot.jpg,1753062600,2260,2320,245,293,POINT(14.8866697 50.2391933),FALSE,Trichoptera,order,Trichoptera,order
000e32b3-957e-4b5c-9ec6-64556027af97,G1,2025,20250702005000-snapshot.jpg,1751417400,1031,1152,923,1108,POINT(14.8866697 50.2391933),FALSE,Hedya nubiferana,species,Tortricidae,family
000ee881-3af3-4a68-9d43-1ef3a08478f3,W1,2025,20250816011959-snapshot.jpg,1755307199,5,83,1305,1391,,TRUE,Hemiptera,order,Hemiptera,order
000fdef4-aeb9-40ab-9360-4c08a5a17277,G1,2025,20250629024959-snapshot.jpg,1751165399,1273,1524,296,563,POINT(14.8866697 50.2391933),TRUE,Tyta luctuosa,species,Tyta luctuosa,species
0010d209-5dd9-4b06-82b7-22b061dacb68,G1,2025,20250520001000-snapshot.jpg,1747699800,2108,2388,1181,1348,POINT(14.8866697 50.2391933),TRUE,Epirrhoe alternata,species,Epirrhoe,genus
001117ea-34a8-44a2-a76f-c6f81fc67f4f,W1,2025,20250828013959-snapshot.jpg,1756345199,3664,3728,1362,1427,,TRUE,Hemiptera,order,Hemiptera,order
00111c8b-faec-49a7-82c3-bd9613f039d7,G1,2025,20250707001000-snapshot.jpg,1751847000,3264,3412,1242,1405,POINT(14.8866697 50.2391933),TRUE,Pseudeustrotia candidula,species,Noctuidae,family
0012bcaa-c50c-438e-adb5-e097e61cc144,W1,2025,20250722025959-snapshot.jpg,1753153199,3244,3416,395,531,,TRUE,Pediasia luteella D.& S.,species,Lepidoptera Micros,order
0013420e-cb06-4997-92d1-86293a756b5a,W1,2025,20250822013959-snapshot.jpg,1755826799,421,517,798,971,,TRUE,Opostega salaciella,species,Lepidoptera Micros,order
00146754-fd81-4e6c-98d6-834e3a339313,F1,2025,20250627024000-snapshot.jpg,1750992000,3356,3416,2041,2100,POINT(14.8958531 50.2718919),TRUE,Diptera Nematocera,order,Diptera Nematocera,order
00149ffe-2d7c-4eb5-9503-789d5cbf604b,G1,2025,20250501020000-snapshot.jpg,1746064800,2924,3040,262,521,POINT(14.8866697 50.2391933),TRUE,Clostera curtula,species,Lepidoptera Macros,order
0014fd5e-faf3-48f2-9cef-13f473168b83,G1,2025,20250625020000-snapshot.jpg,1750816800,2080,2132,303,373,POINT(14.8866697 50.2391933),TRUE,Hemiptera,order,Hemiptera,order
00153d47-1e9e-468e-9d4b-0d45e666dcda,G1,2025,20250501003000-snapshot.jpg,1746059400,555,669,1181,1343,POINT(14.8866697 50.2391933),TRUE,Donacaula forficella,species,Lepidoptera Micros,order
00181a62-ee93-4dea-b183-cff9284491f3,F1,2025,20250807004959-snapshot.jpg,1754527799,1483,1602,169,329,POINT(14.8958531 50.2718919),TRUE,Acrobasis advenella,species,Lepidoptera Macros,order
001897bc-0d73-40b3-90bf-6ce99008da03,W1,2025,20250702024000-snapshot.jpg,1751424000,3308,3488,0,448,,TRUE,Vegetation,order,Vegetation,order
00191a6d-b693-4918-9108-66bcce3e3705,W1,2025,20250817011000-snapshot.jpg,1755393000,2668,2716,2060,2120,,TRUE,Hemiptera,order,Hemiptera,order
00196605-5d6b-4110-b0a1-8983eae6fde2,G1,2025,20250628024959-snapshot.jpg,1751078999,2060,2128,158,266,POINT(14.8866697 50.2391933),TRUE,Teleiodes vulgella,species,Lepidoptera Micros,order
00196d54-b871-4b8f-a62e-f9472fd3dbac,W1,2025,20250711234959-snapshot.jpg,1752277799,2788,2856,525,593,,TRUE,Hemiptera,order,Hemiptera,order
00199344-6500-4b2c-ab41-7e5fb3de7291,G1,2025,20250702004000-snapshot.jpg,1751416800,3708,3800,1988,2156,POINT(14.8866697 50.2391933),TRUE,Oncocera semirubella,species,Lepidoptera Macros,order
001996e1-34c2-407d-a8d5-5c702df72f7a,W1,2025,20250704024959-snapshot.jpg,1751597399,1463,1724,1795,2013,,TRUE,Eilema complana,species,Nyea lurideola,species
001c852f-85f6-42a7-ae71-ddc78fae6672,G1,2025,20250808002000-snapshot.jpg,1754612400,1558,1717,648,864,POINT(14.8866697 50.2391933),TRUE,Eilema lutarella L.,species,Indalia lutarella,species
001d7b14-3a35-4266-9190-d6b0717bbbed,G1,2025,20250708003000-snapshot.jpg,1751934600,2800,2960,210,477,POINT(14.8866697 50.2391933),TRUE,Hymenoptera Other,order,Hymenoptera Other,order
001eb094-18d5-4c73-a0e4-e8aee88222ef,G1,2025,20250728014000-snapshot.jpg,1753666800,215,406,597,789,POINT(14.8866697 50.2391933),TRUE,Chiasmia clathrata,species,Chiasmia clathrata,species
001ece85-974f-46ac-8dbb-d97d85bde518,G1,2025,20250626022000-snapshot.jpg,1750904400,1189,1329,122,335,POINT(14.8866697 50.2391933),TRUE,Oncocera semirubella,species,Oncocera semirubella,species
001eef37-de6b-4e99-808b-c625707b51d7,W1,2025,20250902021000-snapshot.jpg,1756779000,3376,3628,875,1287,,TRUE,Hypomecis punctinalis,species,Geometridae,family
002068be-29d1-4d3f-878e-b22cf24cbd68,W1,2025,20250715003000-snapshot.jpg,1752539400,29,73,1223,1270,,TRUE,Hemiptera,order,Hemiptera,order
00208778-c007-470f-8903-8ab739243819,F1,2025,20250605022959-snapshot.jpg,1749090599,861,1015,856,1027,POINT(14.8958531 50.2718919),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
0020dce6-c44c-4200-964a-914a883e5933,G1,2025,20250714003000-snapshot.jpg,1752453000,1235,1287,1322,1388,POINT(14.8866697 50.2391933),TRUE,Araneae,order,Araneae,order
0021aa42-e174-4282-a9ee-4cdb18410d97,W1,2025,20250707003959-snapshot.jpg,1751848799,562,746,1047,1197,,TRUE,Calamotropha paludella,species,Chrysoteuchia culmella,species
00223801-41f6-436f-91c6-6eba4cfc5469,G1,2025,20250702012000-snapshot.jpg,1751419200,2160,2304,1426,1623,POINT(14.8866697 50.2391933),FALSE,Aspilapteryx tringipennella,species,Lepidoptera Macros,order
0022c616-530b-449e-be3a-74de987711f7,W1,2025,20250715021000-snapshot.jpg,1752545400,2720,2788,1191,1255,,TRUE,Hemiptera,order,Hemiptera,order
0022fc0a-04fd-4be4-84e1-59cf1164092c,F1,2025,20250626022959-snapshot.jpg,1750904999,3252,3584,1535,1699,POINT(14.8958531 50.2718919),TRUE,Idaea straminata,species,Idaea,genus
00239565-052c-4c6a-ab14-59a57e7fd03f,F1,2025,20250828004959-snapshot.jpg,1756342199,1959,2009,595,665,POINT(14.8958531 50.2718919),TRUE,Hemiptera,order,Hemiptera,order
00243956-973b-423b-8cbe-605c5f2e3061,G1,2025,20250815000959-snapshot.jpg,1755216599,1165,1335,837,1007,POINT(14.8866697 50.2391933),TRUE,Pyrausta despicata,species,Pyrausta despicata,species
00248b4c-8a88-4ace-a2f5-b8c721e19c76,F1,2025,20250627011000-snapshot.jpg,1750986600,3476,3568,1952,2088,POINT(14.8958531 50.2718919),TRUE,Opostega salaciella,species,Lyonetia,genus
00248cea-e781-442b-a610-3789e604b87b,W1,2025,20250627004959-snapshot.jpg,1750985399,1832,1881,1084,1147,,TRUE,Araneae,order,Araneae,order
002494b9-4dea-41a0-a3d8-f220e84c5c28,F1,2025,20250719005959-snapshot.jpg,1752886799,539,583,941,992,POINT(14.8958531 50.2718919),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
00255d2c-6c3b-4a3b-a505-55882ec34dca,W1,2025,20250627015959-snapshot.jpg,1750989599,3292,3340,1875,1941,,TRUE,Araneae,order,Araneae,order
00263be2-f119-40f3-a9c6-2aaa60f502ef,G1,2025,20250701011000-snapshot.jpg,1751332200,3120,3208,752,842,POINT(14.8866697 50.2391933),TRUE,Diptera Nematocera,order,Diptera Nematocera,order
002668f8-b9ea-4468-8f2b-ec1c7d0afdbe,F1,2025,20250707020000-snapshot.jpg,1751853600,3632,3696,1319,1393,POINT(14.8958531 50.2718919),TRUE,Tortrix viridana,species,Lepidoptera Micros,order
0026d2f6-638f-4bfa-b89c-f4cf8bc8d027,W1,2025,20250622021959-snapshot.jpg,1750558799,1985,2043,331,419,,TRUE,Araneae,order,Araneae,order
00274274-e0af-4a97-9401-53bcc24f7749,W1,2025,20250622014959-snapshot.jpg,1750556999,3440,3572,2048,2159,,TRUE,Cnephasia stephensiana,species,Tortricidae,family
00275b68-6c64-4c9c-ad17-3d9fcb1e2521,F1,2025,20250430012000-snapshot.jpg,1745976000,2304,2540,1397,1687,POINT(14.8958531 50.2718919),TRUE,Tyria jacobaeae,species,Tyria jacobaeae,species
002945a2-bfe7-4ca9-a503-693c4b7fbcb4,F1,2025,20250625011959-snapshot.jpg,1750814399,3936,4095,1744,1956,POINT(14.8958531 50.2718919),TRUE,Chiasmia clathrata,species,Lepidoptera Macros,order
002950c1-3332-4d2b-bbd6-254badadc005,F1,2025,20250704014000-snapshot.jpg,1751593200,2276,2520,1863,2056,POINT(14.8958531 50.2718919),FALSE,Lomographa bimaculata,species,Lepidoptera Macros,order
00297ae8-7936-4466-be4d-afbc8ba011e2,F1,2025,20250818233959-snapshot.jpg,1755560399,630,735,1873,2033,POINT(14.8958531 50.2718919),TRUE,Blastobasis lacticolella,species,Agonopterix,genus
0029ff65-ad34-4b84-9dcf-a99d6688dbd2,F1,2025,20250814022000-snapshot.jpg,1755138000,1251,1321,1364,1436,POINT(14.8958531 50.2718919),TRUE,Trichoptera,order,Trichoptera,order
002a003e-5d6f-422e-8f24-22abbc43338f,G1,2025,20250627010959-snapshot.jpg,1750986599,3320,3384,462,576,POINT(14.8866697 50.2391933),TRUE,Bactra furfurana,species,Tortricidae,family
002a28b4-8fb1-4a5e-b810-47afcc3d1109,G1,2025,20250701004000-snapshot.jpg,1751330400,1878,2028,1921,2136,POINT(14.8866697 50.2391933),FALSE,Trichoptera,order,Trichoptera,order
002a9b97-0fd9-42a8-b9aa-c995b320f820,G1,2025,20250619234959-snapshot.jpg,1750376999,1429,1689,1964,2159,POINT(14.8866697 50.2391933),FALSE,Cnaemidophorus rhododactyla,species,Cnaemidophorus rhododactyla,species
002a9f8d-56a6-407d-b02c-655e2a53dc81,G1,2025,20250619020000-snapshot.jpg,1750298400,1334,1448,1475,1625,POINT(14.8866697 50.2391933),TRUE,Clepsis pallidana F.,species,Lepidoptera Macros,order
002afea3-e333-440d-a5c8-6090c75139ac,W1,2025,20250821021959-snapshot.jpg,1755742799,3536,3588,1723,1772,,TRUE,Diptera Nematocera,order,Diptera Nematocera,order
002c34d7-0ce1-4823-a163-19e2d6910349,G1,2025,20250626022000-snapshot.jpg,1750904400,3936,4032,21,157,POINT(14.8866697 50.2391933),TRUE,Hedya nubiferana,species,Lepidoptera Micros,order
002c9269-ea13-4b90-911a-92c184888d19,G1,2025,20250705234000-snapshot.jpg,1751758800,2204,2256,1211,1283,POINT(14.8866697 50.2391933),TRUE,Hemiptera,order,Hemiptera,order
002ca24f-cf2c-4a0c-a70c-aa415be46053,G1,2025,20250706001000-snapshot.jpg,1751760600,2100,2164,921,981,POINT(14.8866697 50.2391933),TRUE,Hemiptera,order,Hemiptera,order
002d47fe-1d1c-4dbc-9b50-a255296d1581,G1,2025,20250531232959-snapshot.jpg,1748734199,3384,3716,1587,1763,POINT(14.8866697 50.2391933),TRUE,Idaea straminata,species,Idaea,genus
002e19a1-be62-4e9f-b4b0-7369921e212c,G1,2025,20250809230959-snapshot.jpg,1754780999,2880,2972,1769,2048,POINT(14.8866697 50.2391933),FALSE,Agriphila straminella,species,Lepidoptera Macros,order
002e484d-005d-40dc-85c0-a4519eac3036,F1,2025,20250707024000-snapshot.jpg,1751856000,365,505,1397,1641,POINT(14.8958531 50.2718919),TRUE,Eilema depressa,species,Nyea lurideola,species
002ed50f-e436-4c07-9fce-9498e5613a85,G1,2025,20250624010959-snapshot.jpg,1750727399,219,450,394,619,POINT(14.8866697 50.2391933),TRUE,Diplopseustis perieresalis,species,Lepidoptera Macros,order
002f1d06-4130-4f16-b59e-2b2723fc17ef,F1,2025,20250630013000-snapshot.jpg,1751247000,1100,1144,935,989,POINT(14.8958531 50.2718919),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
002f2389-038a-40ba-815c-450b39622843,W1,2025,20250628234000-snapshot.jpg,1751154000,3700,3776,1139,1229,,FALSE,Phyllonorycter harrisella,species,Lepidoptera Micros,order
003181d3-5dd0-4b62-b8dc-b98998e123d2,G1,2025,20250630014000-snapshot.jpg,1751247600,3344,3528,786,946,POINT(14.8866697 50.2391933),TRUE,Phytometra viridaria,species,Phytometra,genus
00318f7d-43e5-43e8-abae-240df5985a6d,G1,2025,20250623022000-snapshot.jpg,1750645200,3356,3404,1628,1686,POINT(14.8866697 50.2391933),TRUE,Araneae,order,Araneae,order
0031f483-f0a3-4816-b886-d24fbd793fdd,F1,2025,20250603023000-snapshot.jpg,1748917800,991,1152,1725,1922,POINT(14.8958531 50.2718919),TRUE,Coleophora lixella,species,Coleophora,genus
00338c81-3546-49bc-8de6-8fc55f478531,W1,2025,20250626005959-snapshot.jpg,1750899599,3832,3876,729,779,,TRUE,Hemiptera,order,Hemiptera,order
0033d17a-a314-4b91-b349-7be774c1d798,G1,2025,20250705233000-snapshot.jpg,1751758200,2648,2696,91,155,POINT(14.8866697 50.2391933),TRUE,Araneae,order,Araneae,order
0033fcca-2ca7-47db-b67d-3846c9d9cd9b,W1,2025,20250715010000-snapshot.jpg,1752541200,2436,2496,273,347,,TRUE,Diptera Nematocera,order,Diptera Nematocera,order
00342d56-7737-47aa-ab0f-a0cbd733fd29,F1,2025,20250601013959-snapshot.jpg,1748741999,2272,2352,311,433,POINT(14.8958531 50.2718919),TRUE,Hedya nubiferana,species,Tortricidae,family
0034558b-d5b6-4969-9376-59abb561ee3b,F1,2025,20250804003000-snapshot.jpg,1754267400,439,525,705,817,POINT(14.8958531 50.2718919),TRUE,Diptera Nematocera,order,Diptera Nematocera,order
00348fd7-b6cd-4c6e-b452-86f2ff574c10,G1,2025,20250629003959-snapshot.jpg,1751157599,1433,1549,289,403,POINT(14.8866697 50.2391933),TRUE,Hemiptera,order,Hemiptera,order
00350f61-1874-4cfd-bf1b-ca1038c773a3,G1,2025,20250629023959-snapshot.jpg,1751164799,407,529,707,838,POINT(14.8866697 50.2391933),TRUE,Hemiptera,order,Hemiptera,order
00353dcf-9dac-4492-99a7-e2009fd4f254,G1,2025,20250721024000-snapshot.jpg,1753065600,551,725,413,629,POINT(14.8866697 50.2391933),TRUE,Eilema lutarella L.,species,Lepidoptera Macros,order
0035921d-a45f-4b26-b9ce-faaec4c8ca5c,W1,2025,20250821005959-snapshot.jpg,1755737999,2200,2268,111,177,,FALSE,Diptera Nematocera,order,Diptera Nematocera,order
0035d1ee-6820-46e4-8318-89b04dbe4c33,W1,2025,20250811021000-snapshot.jpg,1754878200,3336,3432,870,965,,TRUE,Diptera Nematocera,order,Diptera Nematocera,order
00365f4f-c63e-4285-abc0-ae4443f554a1,F1,2025,20250706010000-snapshot.jpg,1751763600,1946,2140,1663,1931,POINT(14.8958531 50.2718919),TRUE,Eulithis pyraliata D.& S.,species,Geometridae,family
0036db22-c9dc-4da8-acec-80adda42ff47,G1,2025,20250701004000-snapshot.jpg,1751330400,2324,2420,911,1095,POINT(14.8866697 50.2391933),TRUE,Acrobasis marmorea,species,Acrobasis marmorea,species
0037f220-160c-4817-99f0-eb0734d50aca,W1,2025,20250616235000-snapshot.jpg,1750117800,2372,2452,530,625,,TRUE,Diptera Brachycera,order,Diptera Brachycera,order
0038bd48-a98b-4727-a257-204029ccf234,W1,2025,20250809030000-snapshot.jpg,1754708400,3588,3672,1467,1546,,TRUE,Diptera Nematocera,order,Diptera Nematocera,order
0038df73-53ff-4c6f-bafb-21095887fbdb,G1,2025,20250630000000-snapshot.jpg,1751241600,2007,2052,1015,1110,POINT(14.8866697 50.2391933),FALSE,Ephemeroptera,order,Ephemeroptera,order
003aafe9-86f9-462d-8df7-a06c23fa1ca8,G1,2025,20250725013000-snapshot.jpg,1753407000,649,801,85,323,POINT(14.8866697 50.2391933),TRUE,Eilema lutarella L.,species,Lepidoptera Macros,order
003adbdf-7c7c-4eb5-8dd0-c1298351a34e,W1,2025,20250702003000-snapshot.jpg,1751416200,1827,1893,820,913,,TRUE,Diptera Brachycera,order,Diptera Brachycera,order
003b7836-2123-460f-a70e-934f931cf266,F1,2025,20250805021000-snapshot.jpg,1754359800,3480,3580,119,296,POINT(14.8958531 50.2718919),TRUE,Agriphila straminella,species,Crambidae,family
003d58ae-49ee-4398-b34a-344841ac2760,W1,2025,20250805015959-snapshot.jpg,1754359199,1682,1734,1725,1787,,TRUE,Hemiptera,order,Hemiptera,order
003d634c-943e-4ee8-bb82-db1653c31e9e,G1,2025,20250608025000-snapshot.jpg,1749351000,3804,3856,707,760,POINT(14.8866697 50.2391933),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
003dda52-0785-42a3-ab45-51ca9053b6c0,G1,2025,20250630013000-snapshot.jpg,1751247000,1698,1794,402,503,POINT(14.8866697 50.2391933),TRUE,Aristotelia brizella,species,Gelechiidae,family
003efe31-64f3-4c0a-ba8e-f0b7acc4204f,W1,2025,20250710011000-snapshot.jpg,1752109800,2668,2828,1171,1343,,TRUE,Agriphila straminella,species,Crambidae,family
003fb521-d4e3-4799-8b97-ee35c6525376,G1,2025,20250816021000-snapshot.jpg,1755310200,2576,2740,343,535,POINT(14.8866697 50.2391933),TRUE,Loxostege sticticalis,species,Crambidae,family
0040e097-5ed0-4e5a-848e-051ef86d7ae8,F1,2025,20250601012959-snapshot.jpg,1748741399,3080,3584,1346,1669,POINT(14.8958531 50.2718919),TRUE,Siona lineata,species,Siona lineata,species
0040f127-02de-47f3-aee4-a02db80a7af1,G1,2025,20250607010000-snapshot.jpg,1749258000,3288,3368,953,1134,POINT(14.8866697 50.2391933),TRUE,Crambus pascuella,species,Crambus,genus
004112f9-6bd6-4e57-a588-9199fbf95d91,F1,2025,20250905001959-snapshot.jpg,1757031599,3224,3268,102,156,POINT(14.8958531 50.2718919),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
00415265-0fb0-4d1b-ab7f-09553e29f20d,G1,2025,20250726021959-snapshot.jpg,1753496399,1615,1669,756,818,POINT(14.8866697 50.2391933),TRUE,Hemiptera,order,Hemiptera,order
00418427-7770-424c-bb85-c2ee1fe0d04d,F1,2025,20250629235000-snapshot.jpg,1751241000,3808,3884,1427,1506,POINT(14.8958531 50.2718919),TRUE,Hemiptera,order,Hemiptera,order
00418b85-50a3-4720-a420-a97d038831ee,W1,2025,20250810030000-snapshot.jpg,1754794800,3796,4008,1000,1216,,TRUE,Lomaspilis marginata,species,Lomaspilis marginata,species
00425e73-ab0c-4643-86dd-41498cc2ee75,W1,2025,20250619011959-snapshot.jpg,1750295999,2672,2828,1888,2045,,TRUE,Scoparia pyralella,species,Scoparia pyralella,species
0042938c-3174-4907-8747-6bce4b1c752a,F1,2025,20250526024959-snapshot.jpg,1748227799,3348,3396,1803,1875,POINT(14.8958531 50.2718919),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
00430b18-a7af-4227-a3c3-f146e92a6acb,W1,2025,20250629020000-snapshot.jpg,1751162400,426,531,368,505,,TRUE,Hymenoptera Other,order,Hymenoptera Other,order
0044e3d4-e2b6-4026-872d-e4b52ea6424e,W1,2025,20250629012000-snapshot.jpg,1751160000,1660,1708,402,447,,TRUE,Diptera Brachycera,order,Diptera Brachycera,order
0045ed68-ba48-400b-abaf-15f0ceb16461,G1,2025,20250716023959-snapshot.jpg,1752633599,2736,2872,1153,1351,POINT(14.8866697 50.2391933),TRUE,Eilema lutarella L.,species,Indalia,genus
00484faf-8f20-49a4-9bd6-ba162ffdcec4,F1,2025,20250629013959-snapshot.jpg,1751161199,1185,1265,1171,1265,POINT(14.8958531 50.2718919),TRUE,Hemiptera,order,Hemiptera,order
00489664-84dd-46a1-8e9a-e022485ff2a0,F1,2025,20250504014000-snapshot.jpg,1746322800,2624,2692,1350,1431,POINT(14.8958531 50.2718919),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
0048f645-8fcc-459b-9046-0e78a470381c,F1,2025,20250515020959-snapshot.jpg,1747274999,2900,2980,1644,1743,POINT(14.8958531 50.2718919),TRUE,Dichrorampha acuminatana,species,Tortricidae,family
004a270c-b9cf-4498-a290-8ab663297fe2,F1,2025,20250607015959-snapshot.jpg,1749261599,154,257,905,1043,POINT(14.8958531 50.2718919),TRUE,Elachista biatomella,species,Chionodes electella,species
004a2913-0788-4ef1-8f0e-5b0ef89c167b,F1,2025,20250623023959-snapshot.jpg,1750646399,472,538,569,677,POINT(14.8958531 50.2718919),FALSE,Trichoptera,order,Trichoptera,order
004bc3a0-334f-4991-b027-f7075ced5d61,W1,2025,20250627003959-snapshot.jpg,1750984799,269,327,1419,1493,,TRUE,Diptera Nematocera,order,Diptera Nematocera,order
004bd009-cbd1-4caf-9cac-875ed43456c7,G1,2025,20250721015000-snapshot.jpg,1753062600,3584,3684,1147,1271,POINT(14.8866697 50.2391933),TRUE,Eucosma obumbratana,species,Ancylis,genus
004cac22-9c1b-4015-b33f-20ee78b008b0,F1,2025,20250706001000-snapshot.jpg,1751760600,2964,3092,775,957,POINT(14.8958531 50.2718919),TRUE,Hymenoptera Other,order,Hymenoptera Other,order
004cfed9-e132-46f5-bb6e-291b19fd2b3f,G1,2025,20250622235000-snapshot.jpg,1750636200,2108,2252,596,814,POINT(14.8866697 50.2391933),TRUE,Eilema sororcula,species,Lepidoptera Macros,order
004d192c-5455-4956-8a1e-8ccbc5959f2d,G1,2025,20250902022959-snapshot.jpg,1756780199,1928,2007,24,172,POINT(14.8866697 50.2391933),FALSE,Plodia interpunctella,species,Gelechiidae,family
004f7631-962f-4a37-8880-47f69b56ad58,W1,2025,20250816011959-snapshot.jpg,1755307199,1375,1421,745,798,,TRUE,Diptera Nematocera,order,Diptera Nematocera,order
004f84f1-2640-49e7-80ab-6621f67265a9,G1,2025,20250724010959-snapshot.jpg,1753319399,1749,1893,1533,1737,POINT(14.8866697 50.2391933),TRUE,Eilema lutarella L.,species,Indalia lutarella,species
004fa451-db76-4749-8cba-0655bb9a5e50,G1,2025,20250813012000-snapshot.jpg,1755048000,386,482,1105,1248,POINT(14.8866697 50.2391933),FALSE,Ephemeroptera,order,Ephemeroptera,order
004fc27a-e1eb-4b28-9904-1e443ccc3bd5,W1,2025,20250725235000-snapshot.jpg,1753487400,2200,2312,411,601,,TRUE,Pediasia luteella D.& S.,species,Agriphila,genus
004fd4ad-f942-4cd0-b010-4d643580389e,W1,2025,20250629233959-snapshot.jpg,1751240399,1975,2031,1718,1777,,TRUE,Hemiptera,order,Hemiptera,order
0050a38c-60fd-4780-ae3b-bf01e21e0544,F1,2025,20250704021000-snapshot.jpg,1751595000,2560,2656,429,599,POINT(14.8958531 50.2718919),TRUE,Aethes hartmanniana,species,Aethes hartmanniana,species
